Topics,Topic Text,distributions,Unique Words,Text
"[(4, 0.9427082)]","(4, '0.012*""food"" + 0.011*""good"" + 0.010*""great"" + 0.009*""pasta"" + 0.007*""staff""')","[(4, 0.94270766)]",,"Fantastic to see all the points on river. The lodge is bright and  modern.. pity boats and food is stuck in 70's.

Staff were excellent & attentive!!"
"[(6, 0.96814334)]","(6, '0.020*""great"" + 0.012*""energy"" + 0.010*""friendly"" + 0.008*""really"" + 0.007*""fantastic""')","[(6, 0.96814096)]",,"Great way to have a party on a very steady ride up and down the river. Couple of decks to eat in, each with a bar and dance floor area, and space to hang outside at the back (stern). All the staff pleasant and welcoming too. Would recommend for a work party or similar."
"[(0, 0.011015471), (1, 0.9339497), (2, 0.011029026), (3, 0.011001288), (4, 0.010994636), (5, 0.0110092815), (6, 0.011000616)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(0, 0.011015449), (1, 0.933951), (2, 0.011027721), (3, 0.011001288), (4, 0.010994636), (5, 0.011009281), (6, 0.011000614)]",,"Well worth a trip gives you plenty of history of the river, nice n relaxing plus they have a bar"
"[(1, 0.6828273), (5, 0.26946738)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.6828669), (5, 0.26942784)]",,"Brilliant cruise on the river Ouse,could highly recommend this company, the staff were very caring and gave an  informative commentary. Well done."
"[(2, 0.97134316)]","(2, '0.010*""great"" + 0.009*""good"" + 0.007*""staff"" + 0.007*""time"" + 0.006*""hours""')","[(2, 0.9713461)]",,"Amazing way to spend some time and see the city from a different perspective! We did it in quite good weather but it would’ve been just as amazing in colder weather. Super dog friendly and the staff were lovely :)
There was even an ice cream boat that you could by from the water, on the journey! See pictures."
"[(1, 0.9962698)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.9962698)]",,"The London Eye River Cruise is a delightful and scenic way to explore the iconic River Thames and soak in the breathtaking sights of London. Departing from the London Eye Pier, this leisurely boat tour takes passengers on a captivating journey along the river, offering panoramic views of the city's most famous landmarks.

As you embark on the cruise, you'll find yourself gliding past a picturesque backdrop of historic and modern architecture. From the majestic Tower Bridge to the grandeur of the Houses of Parliament and the iconic London Eye itself, the cruise provides a unique vantage point to admire these renowned landmarks from a different perspective.

The knowledgeable guides onboard share fascinating stories and interesting facts about the history, culture, and significance of the sites along the river. Their commentary adds depth and context to the experience, allowing you to gain a deeper understanding of the rich heritage and vibrant atmosphere of London.

The cruise is not just about sightseeing; it also offers a relaxing and enjoyable experience on the water. As you drift along the river, you can sit back, unwind, and appreciate the tranquil surroundings. The gentle sway of the boat and the cool breeze create a soothing atmosphere, making it a perfect opportunity to take a break from the bustling city and enjoy a moment of tranquility.

The London Eye River Cruise is suitable for visitors of all ages and interests. Whether you're a history buff, a photography enthusiast, or simply someone who appreciates stunning cityscapes, the cruise provides a captivating journey that showcases the best of London's iconic landmarks.

The cruise itself typically lasts around 40 minutes, allowing ample time to capture memorable photographs, listen to the engaging commentary, and soak in the mesmerizing views. It's a fantastic way to capture the essence of London's riverside charm and create lasting memories.

With its convenient departure point near the London Eye, the river cruise is easily accessible and can be seamlessly combined with a visit to other nearby attractions or a leisurely stroll along the riverbank.

The London Eye River Cruise offers a unique and enchanting experience that combines sightseeing, relaxation, and informative commentary. It allows visitors to appreciate the beauty and grandeur of London's riverside landmarks while enjoying a serene journey along the iconic River Thames."
"[(1, 0.8163293), (2, 0.14158426)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.81632257), (2, 0.14159109)]",,This tour was pretty awesome. Our tour guide had a funny way of explaining the history of the fancy buildings around the river. We had fun here. The money was worth it.
"[(1, 0.629222), (6, 0.32605892)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.6292204), (6, 0.32606053)]",,This was a highlight of our trip - Ben the guide was hilarious and we thoroughly enjoyed the 40 min trip. Was actually more enjoyable than the London Eye although we did both and they were both great.
"[(1, 0.75792664), (3, 0.21455175)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.7579341), (3, 0.21454422)]",,I really loved the sightseeing tour with this company! The tour guide was funny and gave comprehensive explanations about every iconic landmark along the Thames River. I would really recommend this tour to my other friends who will visit London in the future!
"[(1, 0.24207373), (6, 0.74236727)]","(6, '0.020*""great"" + 0.012*""energy"" + 0.010*""friendly"" + 0.008*""really"" + 0.007*""fantastic""')","[(1, 0.24206775), (6, 0.7423732)]",,"Really enjoyed our boat ride to Greenwich, fantastic value-£18.50 for a 2 hour round trip taking in all the sights then free time to explore Greenwich. We were pleasantly surprised by how nice Greenwich is to walk around and how much there is to see up there, especially the park and maritime museum. The guide on the boat was also very good- engaging and interesting information about all the sights we were passing, including more obscure facts. You also have a choice of sitting indoors or out on the deck."
"[(1, 0.7516317), (3, 0.22186787)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.75162274), (3, 0.22187684)]",,The Thomas Dogit boat trip was the best we had been on the Tour guide was brilliant and made this trip so enjoyable and fun. He had amazing facts about different parts of the river banks and made then fun to remember Definitely Recommend A Visit on this Boat Trip.
"[(1, 0.98173434)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.9817343)]",,"Lovely 90 minute cruise on The Caversham Lady from Caversham Bridge to Mapledurham Lock. The skipper provided a running commentary for the first 45 minutes with lots of interesting facts about the river and local sights. The price was reasonable and Saturday at 11am was dead quiet in summer holidays (families do weekday trips on a deal apparently). Just my wife, our son, and another couple. There is a bar on board for teas and beers and you can pay with contactless. A lovely day out on the river."
