Topics,Topic Text,distributions,Unique Words,Text
"[(2, 0.96632373)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(2, 0.9663237)]",,"Staff are friendly and helpful
Tip is clean and well organised, the only let down is the public who insist on waiting for the skip they want with 10 cars queuing behind them to get rid of a microwave that you managed to carry to the car so walking 10 feet with it will be chaos"
"[(0, 0.013895114), (1, 0.013890714), (2, 0.90271544), (3, 0.013892915), (4, 0.013908178), (5, 0.01390116), (6, 0.013894141), (7, 0.013902331)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(0, 0.013895115), (1, 0.013890713), (2, 0.9027148), (3, 0.013892914), (4, 0.013908767), (5, 0.01390116), (6, 0.013894139), (7, 0.013902331)]",,"Easy access, helpful staffs, clear signs for different waste."
"[(0, 0.015630472), (1, 0.01563767), (2, 0.890555), (3, 0.015629612), (4, 0.015642278), (5, 0.01564277), (6, 0.015629396), (7, 0.015632778)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(0, 0.015630472), (1, 0.01563767), (2, 0.890555), (3, 0.015629612), (4, 0.015642352), (5, 0.01564266), (6, 0.015629396), (7, 0.015632778)]",,Well organised recycling centre recommended friendly staff
"[(0, 0.30856475), (2, 0.6377988)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(0, 0.30856422), (2, 0.6378)]",,"The staff are helpful. And every area is easy to identify , cardboard , metal, wood , electrical, non recyclable waste"
"[(4, 0.9649681)]","(4, '0.014*""staff"" + 0.012*""tour"" + 0.012*""really"" + 0.010*""recommend"" + 0.007*""recycling""')","[(4, 0.9649692)]",,"The site is kept exceptionally clean and the staff are very helpful. They will advise you of recycling locations within the site for your particular recycling.
They will also help with heavy and awkward items. There is a huge selection of bays for separating your recycling. Very impressive."
"[(0, 0.015640661), (1, 0.015631482), (2, 0.89054936), (3, 0.015631154), (4, 0.015641771), (5, 0.015637554), (6, 0.015629929), (7, 0.01563807)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(0, 0.015640726), (1, 0.015631482), (2, 0.89055014), (3, 0.015631156), (4, 0.015640967), (5, 0.015637564), (6, 0.01562993), (7, 0.01563807)]",,"Lots of recycling options. Easy access, and helpful staff"
"[(0, 0.02501587), (1, 0.025009874), (2, 0.82481885), (3, 0.025018407), (4, 0.025036095), (5, 0.025034307), (6, 0.025023706), (7, 0.025042867)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(0, 0.02501587), (1, 0.025009874), (2, 0.82481825), (3, 0.02501841), (4, 0.025036342), (5, 0.025034312), (6, 0.025023708), (7, 0.025043156)]",,Good access and helpful staff.
"[(4, 0.9538934)]","(4, '0.014*""staff"" + 0.012*""tour"" + 0.012*""really"" + 0.010*""recommend"" + 0.007*""recycling""')","[(4, 0.9538903)]",,"The facility has a very easy access, great signs given direction per disposal and staff are very helpful. My go to place to disposal  any unwanted and/or damaged goods."
"[(4, 0.9374517)]","(4, '0.014*""staff"" + 0.012*""tour"" + 0.012*""really"" + 0.010*""recommend"" + 0.007*""recycling""')","[(4, 0.93745255)]",,The men up on the recycling bins are always very polite and willing to help if your struggling to move and carry something from your car. And organised.
"[(0, 0.020844575), (1, 0.02084005), (2, 0.020867279), (3, 0.020843334), (4, 0.020858413), (5, 0.8540509), (6, 0.020844186), (7, 0.020851322)]","(5, '0.016*""great"" + 0.010*""helpful"" + 0.009*""friendly"" + 0.009*""staff"" + 0.009*""well""')","[(0, 0.020844588), (1, 0.020840058), (2, 0.02087523), (3, 0.020843344), (4, 0.020858776), (5, 0.8540425), (6, 0.020844195), (7, 0.02085134)]",,A well run facility with very helpful staff.
"[(2, 0.9675751)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(2, 0.967575)]",,"The recycling centre now has dedicated collection points for many more recycling  streams than it originally offered. It also has reuse points on the right as you drive in for furniture, CDs, computer games, laptops, footwear and I think clothing. The staff are friendly and knowledgeable."
"[(7, 0.9415859)]","(7, '0.020*""great"" + 0.013*""helpful"" + 0.011*""good"" + 0.009*""really"" + 0.008*""waste""')","[(7, 0.94158566)]",,Helpful & professional staff who are always ready to advise on  best way to  recycle items. Place is kept very clean & tidy.
"[(1, 0.76395917), (4, 0.16265386), (7, 0.067592494)]","(1, '0.009*""pasta"" + 0.006*""mosque"" + 0.006*""solar"" + 0.006*""time"" + 0.006*""great""')","[(1, 0.76396096), (4, 0.16265297), (7, 0.06759163)]",,"I would like to say a big ‘Thank you’ to John, Chris, Jamie, Dave, Rob, Glenda, Donald, Rob M and the whole hard working, team at Rosehill Refuse Depot.

For all the years I have been using this tip I have always found the staff to be friendly, polite, and very helpful  - come rain, hail, snow, freezing temperatures! or baking hot!.
The site is spotless and they are always on hand to help and assist me with things I can’t lift /carry or when i’m not sure which container to use.

Clearly they take pride in what they do and this is reflected in everything I’ve mentioned above. They  have even made a beautiful little garden area which is full of bee friendly flowers, grasses and ornaments.  It is so creative and has obviously taken a lot of work which they didn’t need to do. Another special touch which makes this depot a pleasure to visit.
Thank you to all involved with this .... and a special mention to Chris and John in particular who’s care and love for nature and the environment are clearly apparent - such truly commendable qualities to possess.

A fantastic team, thanks to each and everyone of you - you should be very proud of yourselves 😊

10/10 ⭐️ ⭐️⭐️⭐️⭐️"
